doi;pmid;pmcid;publication_year;publication_month;publication_day;cdw_name;cdw_country;article_type;exclusion_criteria;study_disciplines;cdw_exploitation_mode;cdw_effective_used
10.1186/s12911-017-0504-7;28709453;PMC5512751;2017;7;14;blood transfusion data warehouse;NA;methods:cdw-conception;NA;NA;"NA";NA
10.1186/s12887-017-0910-0;28697724;PMC5506674;2017;7;11;Children's Healthcare of Atlanta Data Warehouse;United States;study:epidemiology:analytical;NA;pneumology, cardiovascular, radiology;retrospective;556
10.1111/jch.13045;28681519;NA;2017;7;6;New York City's Health and Hospitals Corporation data warehouse;United States;study:epidemiology:analytical;NA;cardiovascular;retrospective;41868
10.1186/s12911-017-0496-3;28676124;PMC5496643;2017;7;4;Ramathibodi Hospital Data Warehouse;Thailand;study:practice-evaluation;NA;hepato-gastroenterology;retrospective;404273
10.1097/MLR.0000000000000707;28319582;NA;2017;7;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:analytical;NA;surgery;retrospective;525283
10.1177/2047487317702041;28387143;NA;2017;7;NA;Clalit Health Services Data Warehouse;Israel;study:epidemiology:analytical;NA;endocrinology, cardiovascular;retrospective;61971
10.1007/s11606-017-3988-z;28138875;PMC5481223;2017;7;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:evaluative;NA;endocrinology;real time;1250
10.1016/j.cllc.2016.11.018;28038980;NA;2017;7;NA;Veterans Health Administration (VHA) Corporate Data Warehouse;United States;study:epidemiology:evaluative;NA;pneumology, oncology;retrospective;973
10.1016/j.jpeds.2017.06.004;28669611;NA;2017;6;29;Pediatrix BabySteps Clinical Data Warehouse;United States;study:epidemiology:descriptive;NA;neonatology;retrospective;382190
10.1016/j.jpeds.2017.05.037;28625502;NA;2017;6;15;Boston Children's Hospital Clinical Data Warehouse;United States;study:epidemiology:analytical;NA;pediatrics;retrospective;179
10.1186/s12913-017-2327-8;28606088;PMC5469019;2017;6;12;NA;NA;methods:cdw-deployment;NA;public health;"NA";NA
